"objectid","iso3cd","romnam","m49code","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality_reg","quality_glo"
1,"AFG","Afghanistan",4,"Eukaryota",NA,2,"Cropland_Intense",4.83514733761016e-12,1.39656202954874,4.40543513650439e-16,1.00066563696629,1.42005676973027e-11,1.49092332760996,1.18286838582224e-15,1.39809529038011,1.63609083760362e-09,1.65196712580421,1.41174223412577e-13,1.51006227331527,4.81100371360975e-09,1.60462573217808,3.91029392076899e-13,1.66030850771224,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,3,"Cropland_Light",3.40341012170937e-12,1.01944177122151,3.7652726531122e-16,0.991051141006002,1.16968321532071e-11,1.54472142154529,1.07962366957441e-15,1.49401558526312,1.12645406147769e-09,1.31118652503419,1.20900220145951e-13,1.60704790498888,3.95851500806225e-09,1.68793507943444,3.59430649963947e-13,1.77005893867059,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,4,"Cropland_Minimal",2.66070436294704e-12,0.758047438638843,3.47132314728998e-16,0.898974744614839,9.96771763110476e-12,1.68682361133924,1.03445191643326e-15,1.56171001534054,8.13147092815393e-10,0.897624781203896,1.03481510946762e-13,0.978451605771507,3.27569683123635e-09,1.93578299754367,3.31109768845644e-13,1.81166432287834,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,5,"Managed_forest_Intense",1.99168507468345e-12,5.25429122841095,1.79407871262221e-16,0.789600752392825,2.480875350247e-12,5.41062089800961,2.07500261858225e-16,0.925513123444829,6.96523671831854e-10,5.60473604253827,5.37217741884075e-14,1.11797153841752,8.73672096528268e-10,5.7277837006206,6.25973385209515e-14,1.29147355988654,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,6,"Managed_forest_Light",7.37048225714827e-13,3.65468314013129,9.85614777028759e-17,2.46619280293105,9.86265949144588e-13,3.53625263672312,1.39487698028305e-16,2.67321126249189,2.59271360027259e-10,3.85914128447534,3.2502985041519e-14,2.83822797612074,3.53185592160546e-10,3.6778676234061,4.83043807525614e-14,3.00231433265205,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,7,"Managed_forest_Minimal",2.58206282464712e-13,1.59583400154017,2.80617876316484e-17,1.3339179692972,4.42052900935647e-13,1.27942283547654,4.77815404710655e-17,1.17827985101436,7.39355381470186e-11,2.04520953176329,8.0061380418594e-15,1.73350946690232,1.25545353338059e-10,1.5981046714837,1.37014721449183e-14,1.5304443286453,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,8,"Pasture_Intense",3.87973625052951e-12,1.25458712081177,4.24190263730642e-16,1.06390845480434,1.19914757368859e-11,1.57511297490359,1.1237319967702e-15,1.49625670061634,1.43538044719749e-09,1.90752977429825,1.37935111129979e-13,1.58091711306895,4.30485749260035e-09,1.77144739817112,3.7682009751795e-13,1.75445562081394,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,9,"Pasture_Light",3.48144562435797e-12,1.12208587299316,3.60513606518826e-16,1.03129407138893,1.18990303223367e-11,1.5753356474177,1.05926504476663e-15,1.55952099232537,1.19937308946329e-09,1.38635383736738,1.18052338864699e-13,1.64582540505827,4.09929038429871e-09,1.69172461224268,3.56790006445149e-13,1.81989000098148,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,10,"Pasture_Minimal",2.3311435524191e-12,1.23539357397466,2.85881852920927e-16,1.21816007370829,9.66672634651706e-12,1.84086081048718,9.12878759728548e-16,1.74776299158479,8.0634265595404e-10,1.6057330457517,9.37948818812837e-14,1.94123518348748,3.3378251490088e-09,1.96633300594134,3.08346758753125e-13,2.02185386178764,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,11,"Plantation_Intense",5.733297911991e-12,0,1.31876011510741e-15,0,1.09026921242531e-11,0,2.52875461525813e-15,0,3.28681703606055e-09,0,7.69241716479353e-13,0,6.2559766871789e-09,0,1.47601633435997e-12,0,"original","original"
1,"AFG","Afghanistan",4,"Eukaryota",NA,12,"Plantation_Light",3.93213786461534e-12,0.717233915260839,9.87994986018249e-16,0.265572409742127,7.76645804775358e-12,0.697277227639962,1.93410509468368e-15,0.260034328251654,1.89740591125039e-09,0.349725809682072,5.56166472250083e-13,0.0818448625470899,3.74649686497824e-09,0.365068787272751,1.08682355227463e-12,0.0825550547065722,"proxy_partial","proxy_partial"
1,"AFG","Afghanistan",4,"Eukaryota",NA,13,"Plantation_Minimal",1.50310188400388e-12,1.88148448212027,1.54746352712158e-16,1.83674286211721,3.0563893882486e-12,1.77648097436836,3.26582891796849e-16,1.69703443167444,3.02820213879969e-10,2.22524436100022,2.85029894127308e-14,1.83452430876045,6.26282601279293e-10,2.20453245189354,6.06705349147305e-14,1.68460428195637,"proxy_type","proxy_type"
