Products;Name;Type;Distribution;min;max;mean/mode;sd
Wheat_protein_separation;Wheat_gluten_water_input;Float;FIXED;NA;NA;2.5;NA
Wheat_protein_separation;Wheat_gluten_wastewater;Float;FIXED;NA;NA;1.73047283086226;NA
Wheat_protein_separation;Wheat_gluten_mass_flow_mixing;Float;FIXED;NA;NA;1.94;NA
Wheat_protein_separation;Wheat_gluten_mass_flow_centrifugal_sieve_B_starch;Float;FIXED;NA;NA;0.18018701298701;NA
Wheat_protein_separation;Wheat_gluten_mass_flow_hydrocyclones;Float;FIXED;NA;NA;2.06494316883117;NA
Wheat_protein_separation;Wheat_gluten_mass_flow_heating;Float;FIXED;NA;NA;3.09828571726057;NA
Wheat_protein_separation;Wheat_gluten_mass_flow_homogenisator;Float;FIXED;NA;NA;3.14606741573034;NA
Wheat_protein_separation;Wheat_gluten_mass_flow_tricanter;Float;FIXED;NA;NA;3.73904992691038;NA
Wheat_protein_separation;Wheat_gluten_density_centrifugal_sieve_B_starch;Float;FIXED;NA;NA;1.05074728142415;NA
Wheat_protein_separation;Wheat_gluten_density_sedicanter;Float;FIXED;NA;NA;1.00425;NA
Wheat_protein_separation;Wheat_gluten_density_centrifugal_sieve_A_starch;Float;FIXED;NA;NA;1.24075;NA
Wheat_protein_separation;Wheat_gluten_density_nozzle_centrifuge_A_starch;Float;FIXED;NA;NA;1.07938281770409;NA
Wheat_protein_separation;Wheat_gluten_density_nozzle_centrifuge_hydrocyclone;Float;FIXED;NA;NA;1.0045;NA
Wheat_protein_separation;Wheat_gluten_density_nozzle_centrifuge_B_starch;Float;FIXED;NA;NA;1.04674552938268;NA
Soy_protein_isolation;SPI_protein_out;Float;TRIANGLE;0.865;0.952;0.929;NA
Soy_protein_isolation;SPI_protein_in;Float;TRIANGLE;0.51;0.625;0.59;NA
Soy_protein_isolation;SPI_protein_recovery;Float;TRIANGLE;0.573;0.855;0.7535;NA
Soy_protein_isolation;SPI_dm_input;Float;FIXED;NA;NA;0.88;NA
Soy_protein_isolation;SPI_dm_output;Float;FIXED;NA;NA;0.95;NA
Soy_protein_isolation;SPI_price_ratio_spent_flakes;Float;FIXED;NA;NA;23.4;NA
Soy_protein_isolation;SPI_solvent_ratio;Float;TRIANGLE;10;20;10;NA
Soy_protein_isolation;SPI_temperature;Float;TRIANGLE;28;61;33;NA
Soy_protein_isolation;SPI_spent_flakes;Float;FIXED;NA;NA;0.274501577838499;NA
Soy_protein_isolation;SPI_whey;Float;FIXED;NA;NA;0.57879302254975;NA
Soy_protein_isolation;SPI_HCl_input;Float;FIXED;NA;NA;0.002916666666667;NA
Soy_protein_isolation;SPI_NaOH_input;Float;FIXED;NA;NA;0.00125;NA
Soy_protein_isolation;SPI_mass_flow_centrifuge;Float;FIXED;NA;NA;1.0625;NA
Soy_protein_isolation;SPI_mass_flow_centrifuge_flakes;Float;FIXED;NA;NA;0.062386722236023;NA
Soy_protein_isolation;SPI_mass_flow_centrifuge_whey;Float;FIXED;NA;NA;-0.777179970191272;NA
Soy_protein_isolation;SPI_mass_flow_centrifuge_protein;Float;FIXED;NA;NA;2.24518703451101;NA
Soy_protein_isolation;SPI_mass_flow_flash_drier;Float;FIXED;NA;NA;0.105577529937884;NA
Soy_protein_isolation;SPI_heating;Float;FIXED;NA;NA;1.0625;NA
Soy_protein_isolation;SPI_density_centrifuge;Float;FIXED;NA;NA;1.03783050847458;NA
Soy_protein_isolation;SPI_density_centrifuge_flakes;Float;FIXED;NA;NA;1.03579661016949;NA
Soy_protein_isolation;SPI_density_centrifuge_whey;Float;FIXED;NA;NA;1.0285339402448;NA
Soy_protein_isolation;SPI_density_centrifuge_protein;Float;FIXED;NA;NA;1.02863704964859;NA
Soy_protein_concentration;SPC_protein_out;Float;TRIANGLE;0.621052631578947;0.726315789473684;0.7;NA
Soy_protein_concentration;SPC_protein_in;Float;TRIANGLE;0.51;0.625;0.59;NA
Soy_protein_concentration;SPC_protein_recovery;Float;TRIANGLE;0.9;0.98;0.925;NA
Soy_protein_concentration;SPC_dm_input;Float;FIXED;NA;NA;0.88;NA
Soy_protein_concentration;SPC_dm_output;Float;FIXED;NA;NA;0.95;NA
Soy_protein_concentration;SPC_price_ratio;Float;UNIFORM;22.57;24.19;NA;NA
Soy_protein_concentration;SPC_energy_heating;Float;UNIFORM;0;110.01;NA;NA
Soy_protein_concentration;SPC_ts_sieving;Float;TRIANGLE;0.44;0.50;0.48;NA
Soy_protein_concentration;SPC_ts_pressing;Float;TRIANGLE;0.52;0.57;0.56;NA
Soy_protein_concentration;SPC_output_molasses;Float;FIXED;NA;NA;0.394921875;NA
Soy_protein_concentration;SPC_water_input;Float;FIXED;NA;NA;2.35501319504097;NA
Soy_protein_concentration;SPC_ethanol_input;Float;FIXED;NA;NA;0.00385546875;NA
Soy_protein_concentration;SPC_mass_flow_soaking;Float;FIXED;NA;NA;11;NA
Soy_protein_concentration;SPC_mass_flow_extractor;Float;FIXED;NA;NA;11;NA
Soy_protein_concentration;SPC_mass_flow_evaporator_ethanol;Float;FIXED;NA;NA;6.9384973834653;NA
Soy_protein_concentration;SPC_mass_flow_evaporator_water;Float;FIXED;NA;NA;2.1153715236551;NA
"Pea_protein_isolation; Wheat_protein_separation";Electricity_mixing;Float;UNIFORM;6.48;18.62;NA;NA
"Pea_protein_isolation; Wheat_protein_separation";Electricity_hydrocyclone;Float;UNIFORM;1.4;2.2;NA;NA
Pea_protein_isolation;Electricity_vacuum_drum_filter;Float;UNIFORM;74;124;NA;NA
"Pea_protein_isolation; Wheat_protein_separation; Soy_protein_isolation";Electricity_centrifugal_decanter;Float;TRIANGLE;1.08;3.744;3.42;NA
"Pea_protein_isolation; Soy_protein_isolation; Soy_protein_concentration";Electricity_pumping;Float;TRIANGLE;0.09;0.164;0.15;NA
Wheat_protein_separation;Electricity_pumping_gluten;Float;UNIFORM;0.3;0.35;NA;NA
"Pea_protein_isolation; Wheat_protein_separation";Heat_ring_drier;Float;TRIANGLE;3200;5400;3850;NA
"Pea_protein_isolation; Soy_protein_isolation";Heat_spray_drier;Float;UNIFORM;3268;6333;NA;NA
"Pea_protein_isolation; Soy_protein_isolation";dm_content_spray_drier;Float;TRIANGLE;0.12;0.2;0.16;NA
Pea_protein_concentration;Electricity_classifier_mill;Float;UNIFORM;257;325;NA;NA
Pea_protein_concentration;Electricity_air_classifier;Float;TRIANGLE;2.9;47.6;34;NA
Wheat_protein_separation;Electricity_homogenisator;Float;UNIFORM;2.97;6.72;NA;NA
Wheat_protein_separation;Electricity_centrifugal_sieve;Float;UNIFORM;0.27;0.612;NA;NA
Wheat_protein_separation;Electricity_nozzle_centrifuge;Float;TRIANGLE;1.014;2.52;1.5925;NA
"Wheat_protein_separation; Soy_protein_isolation";Heat_flash_drier;Float;TRIANGLE;3600;5040;3600;NA
Soy_protein_concentration;Electricity_extractor;Float;FIXED;NA;NA;15.44;NA
"Soy_protein_concentration; Soy_protein_isolation; Wheat_protein_separation";Electricity_pressing;Float;UNIFORM;0.39;1.89;NA;NA
"Soy_protein_concentration; Wheat_protein_separation";Electricity_evaporation;Float;FIXED;NA;NA;2.11;NA
Soy_protein_concentration;Electricity_desolventization;Float;FIXED;NA;NA;41.69;NA
Soy_protein_concentration;Electricity_solvent_recovery;Float;FIXED;NA;NA;1.86;NA
Soy_protein_concentration;Electricity_grinding;Float;TRIANGLE;180;544;400;NA
Soy_protein_concentration;Heat_evaporation_ethanol;Float;UNIFORM;484.5928819;703.4221789;NA;NA
"Soy_protein_concentration; Wheat_protein_separation";Heat_evaporation_water;Float;UNIFORM;908.2161617;1318.3425;NA;NA
Soy_protein_concentration;Heat_desolventization;Float;UNIFORM;1915.920851;3056.410739;NA;NA
Soy_protein_concentration;Heat_vacuum_drier;Float;UNIFORM;4680;5400;NA;NA
Wheat_protein_separation;Electricity_pin_mill;Float;UNIFORM;124;273;NA;NA
