Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region465;IAI Area, Africa;266;4484cb2d-50e8-43a0-a79f-80313021306a;0.000397159;2.76E-05;1.33E-05;9.49E-05;0.000244807;1.83E-05;1.00E-05;4.40E-05;6.30E-05;6.71E-06;5.59E-06;1.29E-05;3.57E-05;4.85E-06;3.57E-06;4.31E-06
Region466;TL;134;14fec0f0-7d7e-11de-9ae2-0019e336be3a;0.000129217;6.86E-06;7.76E-06;5.32E-05;6.96E-05;4.44E-06;5.54E-06;1.81E-05;1.46E-05;2.07E-06;2.09E-06;5.23E-06;9.41E-06;1.80E-06;9.85E-07;2.88E-06
Region467;TM;136;1356be2e-7d7e-11de-9ae2-0019e336be3a;0.000111498;8.82E-06;2.96E-06;2.49E-05;7.31E-05;5.96E-06;2.58E-06;1.46E-05;2.62E-05;2.93E-06;1.95E-06;6.49E-06;1.72E-05;2.38E-06;1.48E-06;3.55E-06
Region468;RLA;298;09db3260-7e2a-11de-9820-0019e336be3a;0.000120494;1.04E-05;7.80E-06;5.64E-05;7.75E-05;7.28E-06;5.95E-06;2.66E-05;2.19E-05;3.23E-06;3.43E-06;8.41E-06;1.35E-05;2.57E-06;2.07E-06;3.44E-06
Region469;RNA;278;0fecb5e8-7e2a-11de-9820-0019e336be3a;4.95E-05;4.86E-06;2.82E-06;2.38E-05;3.34E-05;3.57E-06;2.34E-06;1.30E-05;1.28E-05;2.12E-06;1.57E-06;5.51E-06;9.19E-06;1.87E-06;1.12E-06;3.23E-06
Region470;SAS;281;30e68c9c-7e2a-11de-9820-0019e336be3a;0.000950049;6.57E-05;2.07E-05;0.000130943;0.000595883;4.42E-05;1.68E-05;6.39E-05;0.000139105;1.42E-05;9.51E-06;1.94E-05;7.37E-05;9.70E-06;7.39E-06;5.60E-06
Region471;UN-EAFRICA;292;e3daf92a-88d2-11de-99d3-0019e336be3a;0.00026748;2.16E-05;1.42E-05;9.80E-05;0.000169924;1.47E-05;1.07E-05;4.57E-05;4.49E-05;5.72E-06;6.11E-06;1.32E-05;2.59E-05;4.20E-06;3.49E-06;4.26E-06
Region472;UN-EASIA;280;2b57aeea-88d5-11de-99d3-0019e336be3a;0.000371239;3.14E-05;2.68E-05;0.000203864;0.000235661;2.03E-05;2.11E-05;9.99E-05;6.92E-05;7.88E-06;1.26E-05;2.83E-05;4.11E-05;5.61E-06;7.94E-06;6.91E-06
Region473;UN-EEUROPE;284;50ec320c-88d5-11de-99d3-0019e336be3a;5.95E-05;6.76E-06;5.02E-06;4.21E-05;4.00E-05;4.73E-06;4.20E-06;2.18E-05;1.48E-05;2.49E-06;2.65E-06;7.54E-06;1.04E-05;2.11E-06;1.80E-06;3.51E-06
Region474;UN-MAFRICA;293;e60b420e-88d2-11de-99d3-0019e336be3a;0.000142479;1.20E-05;6.93E-06;4.15E-05;9.37E-05;9.02E-06;5.47E-06;2.04E-05;2.16E-05;3.63E-06;3.10E-06;7.13E-06;1.26E-05;2.89E-06;1.91E-06;3.28E-06
