Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region505;CN-CCG;529;f6298475-5b7f-5c28-9885-2338946a6cd6;0.000910031;7.89905E-05;6.54065E-05;0.000470577;0.000571489;5.10554E-05;5.08515E-05;0.000224896;1.84173E-05;0.000154893;2.99522E-05;6.0206E-05;8.75736E-05;1.24826E-05;N/A;1.20818E-05
Region506;CN-NWG;530;fa7f6c22-bd54-58c5-a8f0-0939ace8b856;0.000135579;1.04949E-05;7.85297E-06;5.94013E-05;8.63326E-05;7.04008E-06;7.06797E-06;3.39475E-05;3.2464E-06;2.77513E-05;4.78908E-06;1.1925E-05;1.77255E-05;2.5833E-06;N/A;4.36198E-06
Region507;CN-SWG;531;094ba255-b84b-5fbd-8c8a-75547f362075;1.77352E-05;2.57452E-06;1.35944E-06;1.22792E-05;1.42681E-05;2.21171E-06;1.3823E-06;1.01332E-05;1.72924E-06;8.18129E-06;1.23465E-06;5.57577E-06;6.78399E-06;1.63395E-06;N/A;3.27464E-06
Region508;IN-TG;397;N/A;0.001255737;8.41144E-05;1.99669E-05;0.000144857;0.00079144;5.45429E-05;1.62967E-05;7.04566E-05;1.74186E-05;0.000191026;8.4279E-06;1.93968E-05;0.000100538;1.1859E-05;N/A;5.28738E-06
Region509;AU-IOT;477;946938ce-9c81-4a3c-a6ce-ce60a931c602;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Region510;AU-JBT;331;1799e32a-b029-4981-ab1b-1cd932c1e64b;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Region511;AU-NSW;332;ee4baa34-3c79-4919-9393-c5d8a9015674;2.05143E-05;2.227E-06;9.866E-07;9.26494E-06;1.46108E-05;1.86644E-06;7.92542E-07;5.21951E-06;1.53637E-06;7.55548E-06;6.12813E-07;3.33571E-06;6.21161E-06;1.49431E-06;N/A;2.8304E-06
Region512;AU-NT;333;dbee0af4-00e0-4280-a377-414d0a39998e;3.81574E-06;9.58287E-07;1.71192E-07;1.59901E-06;4.02562E-06;1.08264E-06;2.11339E-07;1.86537E-06;1.28418E-06;4.3047E-06;2.62783E-07;2.47309E-06;4.36376E-06;1.33439E-06;N/A;2.69423E-06
Region513;AU-QLD;334;3624a72f-ca5a-48d6-be41-27e705be5b61;5.80104E-06;1.07036E-06;2.56693E-07;2.38418E-06;5.21753E-06;1.15044E-06;2.65765E-07;2.15096E-06;1.30025E-06;4.5944E-06;2.89407E-07;2.52701E-06;4.51264E-06;1.34233E-06;N/A;2.69525E-06
Region514;IN-DH;373;N/A;0.001925201;0.000102561;3.61436E-05;0.00024687;0.001169302;7.4109E-05;2.25975E-05;9.44733E-05;2.16859E-05;0.000250217;9.62637E-06;2.53091E-05;0.00012702;1.29539E-05;N/A;6.75134E-06
Region515;AU-SA;335;c2bb7d7f-6242-4b3c-98cd-62b03f7a8be3;5.93694E-06;1.16421E-06;2.85594E-07;2.72501E-06;5.46634E-06;1.22743E-06;2.96975E-07;2.38836E-06;1.34831E-06;4.87504E-06;3.09284E-07;2.6324E-06;4.74889E-06;1.38216E-06;N/A;2.76213E-06
Region516;AU-TAS;336;fdb06d13-ea53-4a9a-878b-7489f2bae2f7;1.18832E-05;1.5257E-06;9.74792E-07;8.9813E-06;8.6279E-06;1.42806E-06;8.08748E-07;4.93805E-06;1.31863E-06;5.13972E-06;5.31115E-07;3.01945E-06;4.63627E-06;1.32939E-06;N/A;2.65969E-06
Region517;AU-VIC;337;7441e29d-0a88-49fa-8ce4-eeb7f1949f2f;4.71842E-05;4.56643E-06;3.22561E-06;3.02554E-05;3.16496E-05;3.32312E-06;2.22105E-06;1.44604E-05;1.9874E-06;1.25524E-05;1.34018E-06;5.30498E-06;9.0952E-06;1.74984E-06;N/A;3.10278E-06
Region518;AU-WA;338;0ae22e97-4563-473f-9209-3221544a097f;5.05645E-06;1.08876E-06;2.4427E-07;2.26016E-06;4.94038E-06;1.17484E-06;2.61745E-07;2.19559E-06;1.32516E-06;4.64903E-06;2.91959E-07;2.57755E-06;4.61141E-06;1.36532E-06;N/A;2.73698E-06
Region519;IN-LA;383;N/A;9.039E-05;1.03355E-05;4.8011E-06;4.67682E-05;7.24103E-05;8.09552E-06;6.45246E-06;4.36754E-05;3.74103E-06;2.78629E-05;5.88628E-06;1.81945E-05;1.75678E-05;2.89693E-06;N/A;5.42633E-06
Region520;United States of America, including overseas territories;523;969d69ce-e0b1-452b-8f5a-389a62ed40ff;0.000133123;1.17006E-05;7.27507E-06;6.04295E-05;8.67479E-05;7.90262E-06;5.89084E-06;3.12535E-05;3.53487E-06;2.79657E-05;3.73177E-06;1.03699E-05;1.77055E-05;2.7842E-06;N/A;4.01222E-06
Region521;AU-ACT;330;96e0124a-b1b0-4303-b26c-44ee5857f3a1;6.34388E-05;3.33156E-06;2.52952E-06;2.43972E-05;3.5352E-05;2.28211E-06;1.57945E-06;8.41193E-06;1.60184E-06;1.20014E-05;9.30599E-07;4.00389E-06;8.35678E-06;1.5593E-06;N/A;2.94182E-06
